word,Frequency
rt,327
chicago,179
cffc,144
back,142
x,138
vamosfire,137
’,122
mls,115
home,114
first,103
one,101
captainmorganus,94
gerbercollision,92
us,92
fire,88
new,82
echousa,81
go,78
soldier,72
get,69
got,67
day,65
coming,64
big,63
field,63
good,63
mlsisback,59
keep,59
today,58
chicagofire,58
djomihailovic,57
season,54
s,54
time,54
night,54
game,53
alvaromedran,52
win,52
like,51
live,51
goal,49
novacare,49
well,48
final,48
two,47
firewatchparty,46
next,46
tonight,46
nikonemanja,44
city,44
love,44
see,43
best,42
espn,42
vs,42
second,41
pm,41
match,41
berić,40
team,40
welcome,39
jonnybornstein,39
xi,39
sunday,38
de,38
club,38
play,37
saturday,37
great,37
amp,36
emls,36
lets,36
year,36
last,35
comes,35
points,34
take,34
gets,34
three,33
come,33
⃣,33
ready,33
days,32
right,32
el,31
happy,31
week,31
still,30
jeremiahgutjahr,30
bschweinsteiger,30
ct,30
heinekenus,29
thank,29
la,27
underway,27
tomorrow,27
matchday,26
soon,26
make,26
wgntv,26
em,26
work,25
place,25
wgn,25
every,25
league,25
makes,24
games,24
fans,24
news,24
soldierfield,24
man,24
always,24
watch,23
top,23
weve,23
going,23
goals,23
straight,23
thanks,22
tonights,22
heat,22
tnterens,22
usmnt,22
road,22
things,22
let,22
frankie,22
starting,22
start,21
chance,21
part,21
itsavvyllc,21
another,21
minutes,21
youre,20
we,20
half,20
debut,20
pineda,20
azira,20
stay,19
special,19
kickchildhoodcancer,19
it,19
homegrown,19
together,19
con,19
change,19
real,19
en,19
boys,19
congrats,19
chiredstarspr,18
collier,18
orlando,18
kid,18
know,18
wicky,18
ahead,17
join,17
weekend,17
heres,17
calvo,17
nicogaitan,17
guy,17
cup,17
finish,17
re,17
birthday,17
everything,17
way,17
lagalaxy,16
put,16
🤝,16
full,16
history,16
tickets,16
para,16
set,16
ya,16
world,16
hot,16
basti,16
winner,16
support,16
family,16
mauricio,16
tune,16
hours,15
making,15
opener,15
player,15
lead,15
everyone,15
wednesday,15
away,15
help,15
series,15
legend,15
herbers,15
soccer,15
point,15
level,15
house,15
step,15
group,15
tuesday,15
grahamparkerfc,15
players,14
look,14
t,14
content,14
turn,14
vamos,14
playoff,14
gastón,14
preseason,14
att,14
starts,14
pick,14
chicagobulls,14
made,14
til,14
show,14
todays,14
un,14
chivdc,14
kickoff,13
afternoon,13
bobby,13
clbvchi,13
need,13
community,13
building,13
yes,13
bring,13
‍,13
training,13
strong,13
chicagos,13
i,13
done,13
long,12
open,12
na,12
gon,12
round,12
begins,12
wait,12
nevchi,12
never,12
votenikolic,12
continentaltire,12
available,12
fresh,12
started,12
plays,12
allstate,12
forwardmsnfc,12
feeling,12
seattle,12
captain,12
frankowski,12
little,12
oh,12
run,12
years,11
check,11
update,11
micheal,11
line,11
moments,11
future,11
stream,11
came,11
superdraft,11
robert,11
ll,11
firepitch,11
excited,11
voiced,11
rise,11
chifireacademy,11
los,11
young,11
kit,11
wallpaperwednesday,11
takes,11
ticket,11
philaunion,11
break,11
many,11
hes,11
early,11
wearenotplaying,10
medrán,10
give,10
front,10
luck,10
energy,10
england,10
want,10
since,10
mlsallstar,10
tweet,10
playing,10
joins,10
katai,10
morning,10
nashvillesc,10
schedule,10
⃣⃣,10
say,10
behind,10
favorite,10
cant,10
matches,10
people,10
acquired,10
kick,10
experience,10
↔,10
forward,10
looking,10
fan,10
orangecountysc,9
defender,9
tigerenergyusa,9
stand,9
much,9
”,9
vote,9
más,9
friends,9
updates,9
really,9
guys,9
mkot,9
bags,9
called,9
march,9
stage,9
doubles,9
changes,9
tournament,9
torontofc,9
por,9
su,9
beginning,9
🧤,9
ever,9
steps,9
international,9
slonina,9
safe,9
catch,9
chicagobears,9
🥺,9
better,9
teams,9
four,9
bornstein,9
red,9
moment,9
five,9
find,9
lives,9
fccincinnati,8
life,8
hosts,8
lot,8
del,8
football,8
askberic,8
motorolaus,8
orlvchi,8
subs,8
opportunity,8
sub,8
columbus,8
hope,8
grind,8
clean,8
fun,8
aliseda,8
officially,8
even,8
proud,8
chivmtl,8
continues,8
squad,8
something,8
kenny,8
across,8
working,8
»,8
getting,8
you,8
save,8
fabi,8
mihailović,8
follow,8
kicks,8
retweet,8
post,8
double,8
qualifying,8
signed,8
raise,8
mnufc,8
quick,8
heart,8
memories,8
camp,8
pro,8
elliot,8
meet,8
loves,8
…,8
nos,8
roster,8
que,8
goes,8
whole,8
signing,8
chivsea,8
raphael,8
relive,8
party,8
push,8
important,8
whitesox,8
wishing,7
youll,7
lakefront,7
ve,7
adidassoccer,7
net,7
youth,7
nacho,7
chances,7
chivcin,7
tell,7
ball,7
prizes,7
arlowhite,7
rvheem,7
wins,7
‼,7
miguel,7
navarro,7
grabs,7
tfclive,7
mansueto,7
joe,7
te,7
w,7
ig,7
chivhou,7
third,7
vision,7
use,7
trip,7
sure,7
locked,7
return,7
coach,7
chivnyc,7
homecoming,7
could,7
able,7
pride,7
shot,7
south,7
lo,7
houston,7
drivein,7
chivsj,7
scores,7
chivvan,7
staying,7
bronico,7
local,7
cause,7
minvchi,7
dtid,7
massive,7
hi,7
pair,7
trio,7
standforchicago,7
nhlblackhawks,7
running,7
business,7
along,7
spot,7
story,7
voice,7
latest,7
read,7
tough,7
timeline,7
april,7
imfc,7
saturdays,7
close,7
showing,7
high,7
national,7
esta,7
around,7
clubs,7
chicagosports,7
jersey,7
carlos,7
honored,7
old,6
montreal,6
pulls,6
backcffc,6
east,6
están,6
🤔,6
fam,6
atlutd,6
stronger,6
west,6
paytonsun,6
edition,6
fight,6
town,6
may,6
https…,6
regreso,6
appreciation,6
patch,6
bright,6
uefaeuro,6
spread,6
houvchi,6
keeps,6
partido,6
arrived,6
