,id,tweets,likes,created_at,num_retweets
0,1362141016149659654,"""I was always raised with the mindset that I'm going to have to work for all of my opportunities because there's going to be a bunch of barriers for me.""

A must-read via @ChicagoSports:
https://t.co/QLoLG4VvbG",24,2021-02-17 20:45:00,5
1,1362089020948365316,Stanislav’s stock is rising 📈 https://t.co/TsCOIpMpo4,47,2021-02-17 17:18:23,2
2,1362065923457310729,RT @fires_black: Another reminder to everyone this coming tuesday we are collaborating with @FwdFeatherstone to have a serious in-depth con…,0,2021-02-17 15:46:36,19
3,1361710660304928775,Szczęśliwego dnia pączek! 🇵🇱 https://t.co/bHITvXCbxZ,438,2021-02-16 16:14:55,28
4,1360976837292285952,Is your name Carlos? Cuz you’re Terán up our heart. https://t.co/kZqCFpDqcl,86,2021-02-14 15:38:58,5
5,1360680760462741506,"Go get 'em, @KidM3mito 🎮 @eMLS League Series 2 QFs coming up!

https://t.co/LiJeTU2sdA",10,2021-02-13 20:02:28,1
6,1360646914006523913,"RT @eMLS: 8⃣will play 🎮 
1⃣will win 🏆

#eMLS League Series 2 pres. by @CocaCola 
TODAY at 3 PM ET on @MLS https://t.co/sg0rt4HziI 

@xbleu7…",0,2021-02-13 17:47:58,11
7,1360604784458399744,Seen high and low across Chicago 👀,27,2021-02-13 15:00:34,5
8,1360589549693530113,"Good day for some good eats ❄️

https://t.co/KUMPvFJl3m",27,2021-02-13 14:00:01,3
9,1360295879060635656,Sneak peek at what’s coming to Chicago in 2022. https://t.co/kOjMVlRmey,45,2021-02-12 18:33:05,5
10,1360270704319614980,"77 neighborhoods strong, 
each beautifully unique. https://t.co/olDawOS0JX",137,2021-02-12 16:53:03,14
11,1359974482723524608,"RT @VamosFire: ¡No se pierdan esta entrevista con Mauri! 🎙

#VamosFire 

https://t.co/rx7RVIZhhI",0,2021-02-11 21:15:58,3
12,1359945492994678790,"Love is stronger than hate.

Thank you @csingleton__2 for inspiring our staff with your story and your strength. https://t.co/GUsYVlY3hb",80,2021-02-11 19:20:46,13
13,1359902178807320583,The event or what stood after? 🤔,19,2021-02-11 16:28:39,5
14,1359637084814860289,Espinoza under the microscope 🔬 https://t.co/I1BCiJx57t,32,2021-02-10 22:55:16,7
15,1359591876484075523,ok this time for real 👍,100,2021-02-10 19:55:38,10
16,1359566190960668672,"300+ players have worn our shirt.

Drop us your answer 👇 https://t.co/0JoNlhUVru",127,2021-02-10 18:13:34,9
17,1359522936839942144,"Needing all three points in his final qualifier, @KidM3mito scored a 90th-minute winner to secure his place in Saturday's quarterfinals.

https://t.co/UPv1h40lmx",16,2021-02-10 15:21:41,3
18,1359522885874946058,"Book it ✔️

@KidM3mito will compete for an @eMLS trophy this weekend.",34,2021-02-10 15:21:29,2
19,1359366360216797187,RT @KidM3mito: Finished 6th place overall in @eMLS LS1 &amp; LS2 which means I have officially qualified for eMLS Cup! Time to grind between no…,0,2021-02-10 04:59:30,2
20,1359165907659083782,Like both? Replies are encouraged 👍,83,2021-02-09 15:42:59,17
21,1358888084159533059,Offor 101 with @TNTerens 📚 https://t.co/R4dzaYCH7L,52,2021-02-08 21:19:00,3
22,1358880105393709062,RT @AlvaroMedran: When @calvo05oficial @fherbers9393 @Tongagimenez are in the middle......,0,2021-02-08 20:47:18,3
23,1358847788243689477,"More voices from more communities.

This week we'll bring our roundtables to life across social as part of our effort to reach more Chicagoans.

Hit the link for our latest update 👇",95,2021-02-08 18:38:53,18
24,1358083031693680640,🗣🗣🗣,65,2021-02-06 16:00:01,3
25,1357719332797771780,"""I’m so focused on just what I can do better today or tomorrow.""

Mauricio loves the work 🔥",89,2021-02-05 15:54:48,11
26,1357500112797327362,RT @TracyBaimWCMG: Happy to be on this project with @ChicagoFire repping for the @Chicago_Reader   As a lifelong lover of soccer—and a play…,0,2021-02-05 01:23:42,5
27,1357449144844058626,"RT @VamosFire: Un tiro tan bello que se debe ver en cámara lenta 🤩

#VamosFire https://t.co/zYmPnpbqbb",0,2021-02-04 22:01:10,3
28,1357372369292193793,RT @KidM3mito: Tough night with a lot of close matches. We are back next Tuesday for more. #CFFC https://t.co/ss59EO9NGB,0,2021-02-04 16:56:06,1
29,1357025526641274881,RT @firejrs: Celebrating National Girls and Women in Sports Day❗️We are honored to have so many talented and hardworking girls and women th…,0,2021-02-03 17:57:52,3
30,1356997273788559364,"As a part of their involvement on the council, each member is representing a Chicago non-profit, and the club is donating $5,000 to each.

https://t.co/KocNVADZie",20,2021-02-03 16:05:36,5
31,1356988598080446464,"""I'm honored to bring together a community to help reimagine what the crest of the Chicago Fire can be.""

@kevincoval pens our latest update ✍️

Read more » https://t.co/mPY6TKeXSy https://t.co/NqslMrxttn",21,2021-02-03 15:31:08,3
32,1356988365304954882,"From all corners of our city, helping create a crest for all Chicago.

👋 https://t.co/q2QNlrRBEt https://t.co/ckWRlnBFAX",84,2021-02-03 15:30:12,12
33,1356973011405004802,"7 points through 3 games.

Vamos @KidM3mito 🔥

https://t.co/V2fcnFKCkJ",32,2021-02-03 14:29:11,1
34,1356944412358701057,RT @KidM3mito: UNDEFEATED after night 1! Currently sitting in 4th place for LS2. Back at it again tomorrow. #CFFC https://t.co/9lU60fQ9JY,0,2021-02-03 12:35:33,1
35,1356762525707214851,In other Frankowski news... here is a video of Kuba again showing he has an absolute rocket for a left foot. https://t.co/Sn1ibByk4S,145,2021-02-03 00:32:48,7
36,1356708976767995904,Inductees will be revealed in March 🤞,74,2021-02-02 21:00:01,10
37,1356682455793696773,"@chicagonisa Welcome home, CJ 👏",71,2021-02-02 19:14:38,7
38,1356678888827613187,Frankie got his resident status 🇺🇸,258,2021-02-02 19:00:27,16
39,1356669388519276546,@ESPNFC https://t.co/J9KE1zMLVO,125,2021-02-02 18:22:42,2
40,1356415791155929089,We go again 🎮 @KidM3mito begins @eMLS League Series Two qualifying on Tuesday.,33,2021-02-02 01:35:00,2
41,1356378505974587392,"Kick off #BlackHistoryMonth by exploring stories about the Black experience in the U.S.

Scholarships will be awarded to the best essays + every Chicago area entry will be entered to win Fire tickets and gear.",58,2021-02-01 23:06:50,19
42,1356362819525107712,@chicagosky @Candace_Parker Need that jersey asap 🔥  LET'S GOOO,119,2021-02-01 22:04:30,4
43,1355581712454078472,@FireTransfers They came to play but they ain’t playin’ around.,16,2021-01-30 18:20:40,0
44,1355556652318138370,"@meninred97 Got you! All on IG.

Offor = cheenonso
Ivanov = stanislaviivanov
Espinoza = jhonespinoza_14",16,2021-01-30 16:41:05,1
45,1355555776123822089,"New in town 🔥 Offor, Ivanov, and Espinoza have arrived in Chicago. https://t.co/qTfLAHX3fW",260,2021-01-30 16:37:36,21
46,1355179197405290502,"1,200+ responses and counting.

Popular themes so far... ✍️",66,2021-01-29 15:41:13,8
47,1354831560743280650,"Check in. Be kind. Offer support. 

#BellLetsTalk",208,2021-01-28 16:39:50,97
48,1354487740012900355,"RT @VamosFire: 𝚈 𝚊𝚑𝚘𝚛𝚊, 𝚞𝚗 𝚙𝚘𝚎𝚖𝚊... 😍 https://t.co/BaieMz0dNX",0,2021-01-27 17:53:37,42
49,1354213894840004612,@Render312 Big same!,4,2021-01-26 23:45:27,0
50,1354213253996535816,"@Nate9513 You're a star in our eyes, Nate.",7,2021-01-26 23:42:54,0
51,1354212897384255488,"@Wbrne Good catch, thank you!",1,2021-01-26 23:41:29,0
52,1354207863762255878,"@Nate9513 We read, promise! 😿 Did you write down a Chicago neighborhood on the submission page or your city in Alabama?",1,2021-01-26 23:21:29,0
53,1354203528147857409,"We asked you to share thoughts on the city, the club, and the crest.

Chicagoans everywhere spoke up.

Check out the entire visual summary in our latest project update 👇",164,2021-01-26 23:04:15,28
54,1354098875624280064,"Year 2 coming soon.

January 2020              January 2021 https://t.co/uwouyykWt2",233,2021-01-26 16:08:24,13
55,1353806337961062403,@meninred97 https://t.co/7qfv08Ev5N,13,2021-01-25 20:45:58,1
56,1353805666352152576,MLS has announced that the 2021 season will begin on April 3 🗓,201,2021-01-25 20:43:18,27
57,1353720881600749568,Chicago Fire FC President Nelson Rodríguez has stepped down from his position.,613,2021-01-25 15:06:23,102
58,1353403420661719040,Mauricio's moving up 🇺🇸,207,2021-01-24 18:04:55,21
59,1353024737899929601,"Hard work in front of them. City at their back.

Homegrown is a way of life.",76,2021-01-23 17:00:10,10
60,1352758794598678528,"Roundtables are underway. Keep an eye on your inbox for the invite.

Week 2 updates from our friends and collaborators @littleRbigE 📝",52,2021-01-22 23:23:24,8
61,1352703923107360772,"""The most intriguing signing of the MLS offseason."" ✍️ @TheAthleticSCCR goes deep on Jhon Durán.

https://t.co/3F6QgSTly7",56,2021-01-22 19:45:21,8
62,1352659902481788928,"Mitch Guitar: *exists*

Twitter: https://t.co/MlZcfIouO4",90,2021-01-22 16:50:26,19
63,1352658980259176449,"More on our 3 #SuperDraft picks 👀

Yes, including Mitch Guitar.
https://t.co/ZgNUiFghiX",53,2021-01-22 16:46:46,6
64,1352380534333308931,"From @ForwardMSNFC's backyard...

Welcome, Mitch Guitar 🔥 https://t.co/QfZZKbcflL",211,2021-01-21 22:20:20,26
65,1352379453788319757,"Our second pick is in...

Welcome, Christian Pinzon 🔥 https://t.co/10RPpVl5YA",167,2021-01-21 22:16:02,51
66,1352373444634140672,"With the 33rd overall pick...

Welcome, @jacksonragen12 🔥 https://t.co/lWN4W1JeWj",105,2021-01-21 21:52:09,22
67,1352330427915067393,"2021 #SuperDraft kicking off 🔥

Our picks:

Round 2, Pick 6 (33rd overall)
Round 2, Pick 20 (47th overall)
Round 3, Pick 6 (60th overall)

https://t.co/REXcaOHWuW",35,2021-01-21 19:01:13,3
68,1352276782460907524,"#SuperDraft day in MLS ⏰

Follow along live at 1 p.m. CT:",32,2021-01-21 15:28:03,3
69,1351918839840301060,RT @VamosFire: ¡Gastón no para! 🙅‍♂️💪 https://t.co/lCyFo3r5CO,0,2021-01-20 15:45:43,3
