,hashtags,symbols,user_mentions,urls,media
0,[],[],"[{'screen_name': 'ChicagoSports', 'name': 'Chicago Tribune Sports', 'id': 8859802, 'id_str': '8859802', 'indices': [171, 185]}]","[{'url': 'https://t.co/QLoLG4VvbG', 'expanded_url': 'https://www.chicagotribune.com/sports/soccer/ct-chicago-fire-black-players-racism-20210217-a7txjyaulbgdxdg6lz4mi64yvq-story.html', 'display_url': 'chicagotribune.com/sports/soccer/…', 'indices': [187, 210]}]",
1,[],[],[],[],"[{'id': 1361771599440019456, 'id_str': '1361771599440019456', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/media/EuccuM9WgA0g2gu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuccuM9WgA0g2gu.jpg', 'url': 'https://t.co/TsCOIpMpo4', 'display_url': 'pic.twitter.com/TsCOIpMpo4', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1362089020948365316/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]"
2,[],[],"[{'screen_name': 'fires_black', 'name': 'Openly Black Fires', 'id': 1038329123087769600, 'id_str': '1038329123087769600', 'indices': [3, 15]}, {'screen_name': 'FwdFeatherstone', 'name': 'Featherstone Flamingos', 'id': 1128280032080748544, 'id_str': '1128280032080748544', 'indices': [92, 108]}]",[],
3,[],[],[],[],"[{'id': 1361710551458529285, 'id_str': '1361710551458529285', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EuXEiCqWQAUbSBZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuXEiCqWQAUbSBZ.jpg', 'url': 'https://t.co/bHITvXCbxZ', 'display_url': 'pic.twitter.com/bHITvXCbxZ', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1361710660304928775/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]"
4,[],[],[],[],"[{'id': 1360976235925544960, 'id_str': '1360976235925544960', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EuMorQIXIAABPCC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuMorQIXIAABPCC.jpg', 'url': 'https://t.co/kZqCFpDqcl', 'display_url': 'pic.twitter.com/kZqCFpDqcl', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1360976837292285952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]"
5,[],[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [12, 22]}, {'screen_name': 'eMLS', 'name': '🎮 Major League Soccer', 'id': 922506058865704960, 'id_str': '922506058865704960', 'indices': [25, 30]}]","[{'url': 'https://t.co/LiJeTU2sdA', 'expanded_url': 'https://twitter.com/i/broadcasts/1gqGvoZwyZgJB', 'display_url': 'twitter.com/i/broadcasts/1…', 'indices': [63, 86]}]",
6,"[{'text': 'eMLS', 'indices': [39, 44]}]",[],"[{'screen_name': 'eMLS', 'name': '🎮 Major League Soccer', 'id': 922506058865704960, 'id_str': '922506058865704960', 'indices': [3, 8]}, {'screen_name': 'CocaCola', 'name': 'Coca-Cola', 'id': 26787673, 'id_str': '26787673', 'indices': [70, 79]}, {'screen_name': 'MLS', 'name': 'Major League Soccer', 'id': 107146095, 'id_str': '107146095', 'indices': [101, 105]}, {'screen_name': 'xbleu7', 'name': 'John', 'id': 777715131480276992, 'id_str': '777715131480276992', 'indices': [132, 139]}]","[{'url': 'https://t.co/sg0rt4HziI', 'expanded_url': 'http://Twitch.tv/MLS', 'display_url': 'Twitch.tv/MLS', 'indices': [106, 129]}]",
7,[],[],[],[],
8,[],[],[],"[{'url': 'https://t.co/KUMPvFJl3m', 'expanded_url': 'http://t.ly/2c6b', 'display_url': 't.ly/2c6b', 'indices': [32, 55]}]",
9,[],[],[],[],"[{'id': 1360294715598508036, 'id_str': '1360294715598508036', 'indices': [48, 71], 'media_url': 'http://pbs.twimg.com/media/EuC90ABWQAIFu7Y.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuC90ABWQAIFu7Y.jpg', 'url': 'https://t.co/kOjMVlRmey', 'display_url': 'pic.twitter.com/kOjMVlRmey', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1360295879060635656/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]"
10,[],[],[],[],"[{'id': 1360268992716410886, 'id_str': '1360268992716410886', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/media/EuClcR3XEAY4wHJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuClcR3XEAY4wHJ.jpg', 'url': 'https://t.co/olDawOS0JX', 'display_url': 'pic.twitter.com/olDawOS0JX', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1360270704319614980/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]"
11,"[{'text': 'VamosFire', 'indices': [60, 70]}]",[],"[{'screen_name': 'VamosFire', 'name': 'Chicago Fire FC', 'id': 1195080879615463425, 'id_str': '1195080879615463425', 'indices': [3, 13]}]","[{'url': 'https://t.co/rx7RVIZhhI', 'expanded_url': 'https://www.chicagofirefc.com/post/2021/02/10/entrevista-con-mauricio-pineda-0', 'display_url': 'chicagofirefc.com/post/2021/02/1…', 'indices': [73, 96]}]",
12,[],[],"[{'screen_name': 'csingleton__2', 'name': 'Chris Singleton', 'id': 1586268696, 'id_str': '1586268696', 'indices': [39, 53]}]",[],"[{'id': 1359913659879870466, 'id_str': '1359913659879870466', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/Et9jCaoXEAAxAwE.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et9jCaoXEAAxAwE.jpg', 'url': 'https://t.co/GUsYVlY3hb', 'display_url': 'pic.twitter.com/GUsYVlY3hb', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1359945492994678790/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 360, 'h': 450, 'resize': 'fit'}, 'small': {'w': 360, 'h': 450, 'resize': 'fit'}, 'large': {'w': 360, 'h': 450, 'resize': 'fit'}}}]"
13,[],[],[],[],
14,[],[],[],[],"[{'id': 1359634446220148737, 'id_str': '1359634446220148737', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/media/Et5mtcKXYAUgZYu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et5mtcKXYAUgZYu.jpg', 'url': 'https://t.co/I1BCiJx57t', 'display_url': 'pic.twitter.com/I1BCiJx57t', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1359637084814860289/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]"
15,[],[],[],[],
16,[],[],[],[],"[{'id': 1359546245136678915, 'id_str': '1359546245136678915', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/Et4UG1UWgAMKaHI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et4UG1UWgAMKaHI.jpg', 'url': 'https://t.co/0JoNlhUVru', 'display_url': 'pic.twitter.com/0JoNlhUVru', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1359566190960668672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}}]"
