,id,tweets,likes,created_at,num_retweets,hashtags,symbols,user_mentions,urls,media
0,1363864860916908036,"Welcome back, @calvo05oficial 😅 https://t.co/Bv9TgsBNKe",81,2021-02-22 14:54:56,6,[],[],"[{'screen_name': 'calvo05oficial', 'name': 'Francisco Calvo', 'id': 737810925357551616, 'id_str': '737810925357551616', 'indices': [14, 29]}]",[],"[{'id': 1363864642100027392, 'id_str': '1363864642100027392', 'indices': [32, 55], 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1363864642100027392/img/dSlbq8kEU9rFFYFt.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1363864642100027392/img/dSlbq8kEU9rFFYFt.jpg', 'url': 'https://t.co/Bv9TgsBNKe', 'display_url': 'pic.twitter.com/Bv9TgsBNKe', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1363864860916908036/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 854, 'resize': 'fit'}, 'small': {'w': 382, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 854, 'resize': 'fit'}}}]"
1,1363540166086959111,Where Chicago comes to play 🗓 2.25 https://t.co/qurtiqhrJb,225,2021-02-21 17:24:43,23,[],[],[],[],"[{'id': 1363503908061143042, 'id_str': '1363503908061143042', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/media/EuwwhhwWgAYiYYt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuwwhhwWgAYiYYt.jpg', 'url': 'https://t.co/qurtiqhrJb', 'display_url': 'pic.twitter.com/qurtiqhrJb', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1363540166086959111/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]"
2,1362894651657777155,@IndianaMSOC 🔥🔥,3,2021-02-19 22:39:40,0,[],[],"[{'screen_name': 'IndianaMSOC', 'name': ""Indiana Men's Soccer"", 'id': 29739264, 'id_str': '29739264', 'indices': [0, 12]}]",[],
3,1362829516331220994,"RT @VamosFire: Mauricio Pineda platicó con @TelemundoCHI acerca de su familia y el fútbol ♥️⚽️

¡Les compartimos la entrevista! ⤵️

https:/…",0,2021-02-19 18:20:51,5,[],[],"[{'screen_name': 'VamosFire', 'name': 'Chicago Fire FC', 'id': 1195080879615463425, 'id_str': '1195080879615463425', 'indices': [3, 13]}, {'screen_name': 'TelemundoCHI', 'name': 'Telemundo Chicago', 'id': 36388194, 'id_str': '36388194', 'indices': [43, 56]}]",[],
4,1362424575502520324,Have a young artist at home? We've got the perfect project 🎨 Read our latest update → https://t.co/mPY6TKeXSy,49,2021-02-18 15:31:46,10,[],[],[],"[{'url': 'https://t.co/mPY6TKeXSy', 'expanded_url': 'http://cf97.co/7xig30rvpYs', 'display_url': 'cf97.co/7xig30rvpYs', 'indices': [86, 109]}]",
5,1362141016149659654,"""I was always raised with the mindset that I'm going to have to work for all of my opportunities because there's going to be a bunch of barriers for me.""

A must-read via @ChicagoSports:
https://t.co/QLoLG4VvbG",50,2021-02-17 20:45:00,9,[],[],"[{'screen_name': 'ChicagoSports', 'name': 'Chicago Tribune Sports', 'id': 8859802, 'id_str': '8859802', 'indices': [171, 185]}]","[{'url': 'https://t.co/QLoLG4VvbG', 'expanded_url': 'https://www.chicagotribune.com/sports/soccer/ct-chicago-fire-black-players-racism-20210217-a7txjyaulbgdxdg6lz4mi64yvq-story.html', 'display_url': 'chicagotribune.com/sports/soccer/…', 'indices': [187, 210]}]",
6,1362089020948365316,Stanislav’s stock is rising 📈 https://t.co/TsCOIpMpo4,66,2021-02-17 17:18:23,3,[],[],[],[],"[{'id': 1361771599440019456, 'id_str': '1361771599440019456', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/media/EuccuM9WgA0g2gu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuccuM9WgA0g2gu.jpg', 'url': 'https://t.co/TsCOIpMpo4', 'display_url': 'pic.twitter.com/TsCOIpMpo4', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1362089020948365316/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}}]"
7,1362065923457310729,RT @fires_black: Another reminder to everyone this coming tuesday we are collaborating with @FwdFeatherstone to have a serious in-depth con…,0,2021-02-17 15:46:36,24,[],[],"[{'screen_name': 'fires_black', 'name': 'Openly Black Fires', 'id': 1038329123087769600, 'id_str': '1038329123087769600', 'indices': [3, 15]}, {'screen_name': 'FwdFeatherstone', 'name': 'Featherstone Flamingos', 'id': 1128280032080748544, 'id_str': '1128280032080748544', 'indices': [92, 108]}]",[],
8,1361710660304928775,Szczęśliwego dnia pączek! 🇵🇱 https://t.co/bHITvXCbxZ,441,2021-02-16 16:14:55,28,[],[],[],[],"[{'id': 1361710551458529285, 'id_str': '1361710551458529285', 'indices': [29, 52], 'media_url': 'http://pbs.twimg.com/media/EuXEiCqWQAUbSBZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuXEiCqWQAUbSBZ.jpg', 'url': 'https://t.co/bHITvXCbxZ', 'display_url': 'pic.twitter.com/bHITvXCbxZ', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1361710660304928775/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}}}]"
9,1360976837292285952,Is your name Carlos? Cuz you’re Terán up our heart. https://t.co/kZqCFpDqcl,86,2021-02-14 15:38:58,5,[],[],[],[],"[{'id': 1360976235925544960, 'id_str': '1360976235925544960', 'indices': [52, 75], 'media_url': 'http://pbs.twimg.com/media/EuMorQIXIAABPCC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuMorQIXIAABPCC.jpg', 'url': 'https://t.co/kZqCFpDqcl', 'display_url': 'pic.twitter.com/kZqCFpDqcl', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1360976837292285952/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}}}]"
